ChemicalID	DiseaseID	PubMedIDs
C078765	D007680	15226156
C078765	D007680	9450487
C078765	D007680	11170505
C078765	D007680	12110509
C078765	D007680	14587099
C078765	D011041	20034486
C078765	D011230	11170505
C014211	D056486	20702594
C014211	D020964	24950391
C014211	D006330	11294989
C014211	D007249	25768209
C014211	D007333	26752053
C014211	D008659	25768209
C014211	D056128	26752053
C014211	D011041	20861070
C014211	D011041	24950391
C584749	D049188	23658603
C584749	D015431	23658603
C016369	D056486	12563345
C016369	D004938	7657061
C016369	D007674	12563345
C016369	D007680	7657061
C016369	D008113	7657061
C016369	D008175	7657061
C016369	D009369	12563345
C016369	D009669	9385384
C016369	D012878	7657061
C016369	D013160	7657061
C016369	D013274	11397402
C016369	D013274	7657061
C016369	D014456	12563345
C547124	D012600	25818047
C064787	D007683	2363184
C053499	D000014	23684558
C053499	D004487	23684558
C063002	D000014	17091503
C001042	D001943	2335007
C001042	D002294	6943385
C001042	D002471	1399818
C001042	D003110	2501247
C001042	D003110	11917207
C001042	D003110	1359664
C001042	D003110	1657429
C001042	D004428	2414260
C001042	D004428	6943385
C001042	D004938	1399818
C001042	D005706	1483944
C001042	D007414	2335007
C001042	D007414	2414260
C001042	D007414	3396013
C001042	D007414	6943385
C001042	D007414	7197594
C001042	D007414	9500188
C001042	D007414	11470761
C001042	D007414	11676852
C001042	D007414	1906380
C001042	D007674	2335007
C001042	D007942	6943385
C001042	D008113	1906380
C001042	D008114	1399818
C001042	D008114	1657429
C001042	D008114	2414260
C001042	D008175	1399818
C001042	D008175	1657429
C001042	D008223	6943385
C001042	D008325	2501247
C001042	D008654	2414260
C001042	D009374	9065799
C001042	D010182	9500188
C001042	D010190	2720905
C001042	D010190	3396013
C001042	D010190	12351152
C001042	D010190	1906380
C001042	D010190	2501247
C001042	D010212	2591015
C001042	D010212	6943385
C001042	D010534	2501247
C001042	D010538	1517147
C001042	D011230	1906380
C001042	D011230	2591015
C001042	D011230	8564966
C001042	D011230	8631131
C001042	D011230	9356307
C001042	D011230	10222400
C001042	D011230	10329505
C001042	D011230	18156308
C001042	D011470	1708755
C001042	D011470	2208075
C001042	D019048	11470761
C001042	D019048	11676852
C001042	D019048	16406940
C001042	D011471	1359664
C001042	D011471	15072586
C001042	D011471	1517147
C001042	D011471	15279896
C001042	D011471	1574465
C001042	D011471	16000596
C001042	D011471	16406940
C001042	D011471	7197594
C001042	D011471	1715414
C001042	D011471	7559081
C001042	D011471	1855198
C001042	D011471	7693634
C001042	D011471	1906380
C001042	D011471	7766307
C001042	D011471	7889841
C001042	D011471	8062203
C001042	D011471	8449822
C001042	D011471	8766519
C001042	D011471	9045956
C001042	D011471	9197525
C001042	D011471	10076561
C001042	D011471	10755384
C001042	D011471	10965018
C001042	D011471	11238188
C001042	D011471	11470761
C001042	D011471	11676852
C001042	D011471	11971643
C001042	D011471	12351152
C001042	D011471	12974608
C001042	D011471	1997167
C001042	D011471	2105161
C001042	D011471	2137026
C001042	D011471	2208075
C001042	D011471	2335007
C001042	D011471	2414260
C001042	D011471	2501247
C001042	D011471	9450633
C001042	D011471	3396013
C001042	D011471	9452271
C001042	D011471	3779655
C001042	D011471	9464510
C001042	D011471	6951094
C001042	D011472	3148599
C001042	D012878	2501247
C001042	D012878	6943385
C001042	D012878	1906380
C001042	D012878	2335007
C001042	D012878	2414260
C001042	D013274	1399818
C001042	D013274	2591015
C001042	D013274	6943385
C001042	D013736	2501247
C001042	D013964	1399818
C001042	D001749	2335007
C001042	D001749	2591015
C001042	D001749	6943385
C001042	D001749	7197594
C001042	D001749	7889841
C001042	D001749	7955049
C001042	D001749	8609046
C001042	D001749	1399818
C001042	D001749	1657429
C001042	D001749	1906380
C001042	D014565	8488156
C028290	D019970	15061316
C028290	D011248	15061316
C062865	D001259	7889291
C062865	D002375	8616504
C053671	C537358	3652445
C053671	D056693	3652445
C013186	D001989	25710175
C061282	D002375	8720578
C061282	D002375	9218695
C061282	D002375	10591873
C061282	D002375	17684118
C061282	D002375	8045270
C061282	D006930	8907337
C061282	D007022	17934014
C061282	D009069	17096081
C541132	D003920	20049255
C541132	D004408	23402744
C541132	D005234	21126940
C541132	D011297	23402744
C541132	D011297	25449634
C573693	D002386	22193206
C081766	D001008	22595366
C081766	D015179	15531428
C081766	D011297	25095280
C081766	D012021	22595366
C081766	D012141	19055819
C018566	D056486	16024102
C018566	D009369	8820588
C014024	D001008	22595366
C014024	D001259	23220684
